OBJECTID,Site name,Number of spills,Spill duration (hours per year),Percent of reporting operational,Company name,DSI_TYPE_DESCRIPTION,ADD_OF_DISCHARGE_SITE_LINE_1,DISTRICT_COUNCIL,CATC_NAME,PERMIT_NUMBER,RECEIVING_WATER,REC_ENV_CODE_DESCRIPTION,Outlet type,Grid reference,Effluent type,Year of Data,Disputed,Disputed data detail,x,y
1811,CARR LANE EAST AYTON/CSO,0,0,91.50,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),LONG LANE,RYEDALE,DERWENT AND TRIBS,WADC798 1,RIVER DERWENT,Freshwater river,Sewage - water company,SE9921084660,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,499210,484660
1812,CARR PIT ROAD/NO 2 CSO,9,9,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),CARR PIT ROAD,KIRKLEES,CALDER AND TRIBS,WRA8455 1,RIVER COLNE,Freshwater river,Sewage - water company,SE1514016490,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,415140,416490
1813,CARRHOUSE LN CAYTON/2 CSO,38,231,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),TRACK OFF CARRHOUSE LANE,SCARBOROUGH,ESK AND STREAMS TO N SEA,27/27/0137 1,RIVER HERTFORD,Freshwater river,Sewage - water company,TA0470083180,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,504700,483180
1814,CARTMELL DRIVE/CSO,30,61,99.72,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),CARTMELL DRIVE,LEEDS,AIRE AND TRIBS,WRA8095 1,WYKE BECK,Freshwater river,Sewage - water company,SE3403033420,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,434030,433420
1815,CARVER CLOUGH/NO 2 CSO,6,16,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),OLDHAM ROAD ADJACENT NO 240,CALDERDALE,CALDER AND TRIBS,2853 1,CARVER CLOUGH,Freshwater river,Sewage - water company,SE0345018360,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,403450,418360
1816,CASTLEGATE/CSO,7,122,100,YORKSHIRE WATER SERVICES LTD,Pumping Station on Sewerage Network (water company),SHEEPFOOT HILL,RYEDALE,DERWENT AND TRIBS,27/27/0101 1,RIVER DERWENT,Freshwater river,Sewage - water company,SE7923071470,SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY,2019,,,479230,471470
1817,CATCHBAR LANE/CSO,0,0,75.62,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),ADJ NO 86 CATCHBAR LANE,SHEFFIELD,DON AND TRIBS,WRA8504 1,RIVER DON,Freshwater river,Sewage - water company,SK3309090620,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,433090,390620
1818,CAUSEWAY SIDE 13/CSO,31,84,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),OPP 1 CAUSEWAY SIDE,KIRKLEES,CALDER AND TRIBS,WRA7460 1,HOYLE HOUSE BROOK,Freshwater river,Sewage - water company,SE0958014120,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,409580,414120
1819,CEMETERY LANE/CSO,147,785,100,YORKSHIRE WATER SERVICES LTD,Pumping Station on Sewerage Network (water company),KEIGHLEY,BRADFORD,AIRE AND TRIBS,WADC809 1,RIVER AIRE,Freshwater river,Sewage - water company,SE0572042890,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,405720,442890
1820,CHANDLERS WHARF/CSO,37,146,99.45,YORKSHIRE WATER SERVICES LTD,Pumping Station on Sewerage Network (water company),CHANDLERS WHARF,RYEDALE,DERWENT AND TRIBS,27/27/0078 2,DERWENT,Freshwater river,Sewage - water company,SE7902071460,SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY,2019,,,479020,471460
1821,CHAPEL LANE/NO 2 CSO,38,33,96.18,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),CHAPEL LANE OPPOSITE NO 8,KIRKLEES,CALDER AND TRIBS,2396 1,TRIB OF SPEN TO CALDER,Freshwater river,Sewage - water company,SE2199023850,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,421990,423850
1822,CHAPELTHORPE/CSO,1,9,90.69,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),REAR OF 211 WHARNCLIFFE ROAD,WAKEFIELD,CALDER AND TRIBS,C4238 1,CHAPELTHORPE BANK,Freshwater river,Sewage - water company,SE3230015700,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,432300,415700
1823,CHARLES STREET/NO 2 CSO,18,76,99.45,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),CHARLES STREET OPP FORD HOUSE,WAKEFIELD,CALDER AND TRIBS,WRA8579 1,OLD MILL STREAM,Freshwater river,Sewage - water company,SE3040017500,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,430400,417500
1824,CHATERIS ROAD/CSO,1,0,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),CHARTERIS ROAD OFF BELL DEAN RD,BRADFORD,,EPRKB3891VF 1,PITTY BECK,Freshwater river,Sewage - water company,SE1205933137,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,412055,433247
1825,CHATSWORTH ROAD/CSO,23,45,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),CHATSWORTH ROAD (OPP NO.167),CHESTERFIELD,DON AND TRIBS,WRA9095 1,RIVER HIPPER,Freshwater river,Sewage - water company,SK3720070880,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,437200,370880
1826,CHERRY BURTON/STW,49,809,93.96,YORKSHIRE WATER SERVICES LTD,WwTW/Sewage Treatment Works (water company),OFF BISHOP BURTON ROAD,E. RIDING OF YORKS U,HULL AND TRIBS,WA6378 3,MOOR DYKE,Freshwater river,Sewage - water company,SE9928041190,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,499290,441150
1827,CHESTERFIELD ROAD/CSO,0,0,,YORKSHIRE WATER SERVICES LTD,Pumping Station on Sewerage Network (water company),CHESTERFIELD ROAD,CHESTERFIELD,DON AND TRIBS,WADC627 1,S.W. SEWER TO RIVER ROTHER,Freshwater river,Sewage - water company,SK4294074040,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,442940,374040
1828,CHURCH STREET JUMP/2 CSO,64,207,92.88,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),REAR OF NO 5 SUNNY BANK,BARNSLEY,DON AND TRIBS,WRA8384 1,JUMP VALLEY STREAM,Freshwater river,Sewage - water company,SE3772000970,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,437720,400970
1829,CHURCH WOOD/CSO,22,13,91.51,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),CHURCHWOOD CLOSE,YORK UA,OUSE (NON TIDAL) AND TRIB,WADC1337 1,RIVER OUSE,Freshwater river,Sewage - water company,SE5600056000,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,436062,468095
1830,CHURWELL HILL/CSO,3,1,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),ELLAND ROAD (OFF),LEEDS,AIRE AND TRIBS,WRA9109 1,FARNLEY WOOD BECK,Freshwater river,Sewage - water company,SE2765029880,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,427650,429880
1831,CITY SQUARE/CSO,127,598,82.74,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),WELLINGTON ST/AIRE ST JCT,LEEDS,AIRE AND TRIBS,WRA8100 1,RIVER AIRE,Freshwater river,Sewage - water company,SE2979033330,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,429790,433330
1832,CLAREMONT 271/CSO,30,48,99.41,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),NEW LAITHES ROAD (OFF),LEEDS,AIRE AND TRIBS,WRA8560 1,RIVER AIRE,Freshwater river,Sewage - water company,SE2386036940,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,423860,436940
1833,CLAREMONT CRES/NO 2 CSO,41,44,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),OFF MEANWOOD ROAD,LEEDS,,EPRHB3894NX 1,MEANWOOD BECK & STAIN BECK,Freshwater river,Sewage - water company,SE2922436174,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,428979,436436
1834,CLAYTON HILL/CSO,0,0,99.18,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),HORBURY ROAD,WAKEFIELD,CALDER AND TRIBS,WADC1029 1,TRIB OF CHALD BECK,Freshwater river,Sewage - water company,SE3210020200,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,432100,420200
1835,CLIFF HOLLINS LANE/CSO,3,1,99.66,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),NR BECK W OF CLIFF HOLLINS LANE,BRADFORD,AIRE AND TRIBS,WRA8246 1,HIGHROYDS BECK,Freshwater river,Sewage - water company,SE1816028810,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,418160,428810
1836,CLIFTON LORD STREET/CSO,15,40,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),LORD STREET (OPP NO.72),ROTHERHAM,DON AND TRIBS,WRA9188 1,HERRINGTHORPE BECK,Freshwater river,Sewage - water company,SK4514094260,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,445140,394260
1837,CLIFTON PARK/CSO,43,77,96.70,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),REAR OF NO 52 CLIFTON GROVE,ROTHERHAM,DON AND TRIBS,C4074 1,RIVER DON,Freshwater river,Sewage - water company,SK4310093710,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,443100,393700
1838,CLOCK TOWER/CSO,91,169,99.65,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),JUNCTION OF NORTH-PRINCESS ROAD,HARROGATE,URE AND TRIBS,3368(SS) 1,RIVER URE,Freshwater river,Sewage - water company,SE3190071900,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,431900,471900
1839,CLOG BRIDGE/CSO,8,0,,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),CLOG BRIDGE,BRADFORD,AIRE AND TRIBS,WRA9241 1,SILSDEN BECK,Freshwater river,Sewage - water company,SE0422046200,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,404220,446200
1840,CLOUGHFIELDS/NO 2 CSO,66,145,99.72,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),REAR OF NO 87 CLOUGHFIELDS ROAD,BARNSLEY,DON AND TRIBS,WRA7954 1,TRIBUTARY OF HARLEY DIKE,Freshwater river,Sewage - water company,SK3693099830,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,436930,399830
1841,CLOUGHS MILL/NO 2 CSO,0,0,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),CLOUGHS MILL,BRADFORD,AIRE AND TRIBS,WRA8515 1,RIVER WORTH,Freshwater river,Sewage - water company,SE0545039680,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,405450,439680
1842,COBCAR LANE/CSO,66,151,99.72,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),COBCAR LANE OPP CASTLE GARDENS,BARNSLEY,DON AND TRIBS,WRA8385 1,JUMP VALLEY STREAM,Freshwater river,Sewage - water company,SE3830000790,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,438300,400790
1843,COLLIERY LANE/CSO,9,8,98.90,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),OFF LEEDS ROAD,KIRKLEES,AIRE AND TRIBS,390 1,AIRE,Freshwater river,Sewage - water company,SE1691019750,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,416910,419750
1844,COLLINGHAM LEEDS ROAD/CSO,26,82,96.16,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),LOXLEY ROAD,SHEFFIELD,DON AND TRIBS,WADC1192 1,RIVER RIVELIN,Freshwater river,Sewage - water company,SK3250089400,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,432500,389400
1845,COLNE ROAD/CSO,19,63,99.72,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),COLNE ROAD (OPP MILLS),KIRKLEES,CALDER AND TRIBS,WRA8557 1,RIVER COLNE,Freshwater river,Sewage - water company,SE1503016160,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,415030,416160
1846,COMMON HALL LANE/CSO,0,0,93.90,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),MANSION HOUSE,YORK UA,OUSE (NON TIDAL) AND TRIB,27/24/0418 1,RIVER OUSE,Freshwater river,Sewage - water company,SE6008051880,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,460080,451880
1847,COMMON ROAD/CSO,0,0,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),COMMON ROAD (OPP IND ESTATE),BRADFORD,CALDER AND TRIBS,WRA9166 1,TRIBUTARY OF LOW MOOR BECK,Freshwater river,Sewage - water company,SE1563028780,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,415630,428780
1848,CORKER BOTTOMS LANE/CSO,66,105,97.26,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),CORKER BOTTOMS LANE TRACK,SHEFFIELD,DON AND TRIBS,WRA8157 1,KIRK BRIDGE DIKE,Freshwater river,Sewage - water company,SK3828086950,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,438280,386950
1849,CORN MILL/NO 2 CSO,55,219,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),NEWTOWN,KIRKLEES,DON AND TRIBS,WRA8437 1,RIVER HOLME,Freshwater river,Sewage - water company,SE1402012140,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,414020,412140
1850,COWLING/CSO,10,55,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),GILL LANE,CRAVEN,AIRE AND TRIBS,WRA9222 1,ICKORNSHAW BECK,Freshwater river,Sewage - water company,SD9680043001,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,396800,443001
1851,CRAGG ROAD/NO 2 CSO,60,417,99.45,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),CRAGG ROAD,CALDERDALE,CALDER AND TRIBS,WRA8746 1,CRAGG BROOK,Freshwater river,Sewage - water company,SE0113025780,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,401130,425780
1852,CRAKE WELLS/CSO,14,31,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),CRAKE WELLS ADJACENT NO 1,E. RIDING OF YORKS U,HULL AND TRIBS,WRA7810 1,AUTHERD DRAIN,Freshwater river,Sewage - water company,TA0034037190,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,500340,437190
1853,CRESCENT TERRACE/CSO,1,0,99.72,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),SOUTH TERRACE,SCARBOROUGH,ESK AND STREAMS TO N SEA,27/29/0076 1,RIVER ESK (TIDAL),Freshwater river,Sewage - water company,NZ8984011380,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,489840,511380
1854,CRICKET INN CRESCENT/CSO,25,374,67.85,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),CRICKET INN CRESCENT (ADJ NO.1),SHEFFIELD,DON AND TRIBS,WRA9122 1,RIVER DON,Freshwater river,Sewage - water company,SK3714088110,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,437140,388110
1855,CRIMPLE LANE/NO 2 CSO,44,172,94.52,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),"O/S APRIL COTTAGE, CRIMPLE LANE",HARROGATE,NIDD AND TRIBS,27/21/0143 1,CRIMPLE BECK,Freshwater river,Sewage - water company,SE3340054040,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,433400,454040
1856,CROFT MILLS/CSO,96,200,99.72,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),GIBB SYKES,CRAVEN,AIRE AND TRIBS,WRA8738 1,ICKORNSHAW BECK,Freshwater river,Sewage - water company,SD9743043540,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,397430,443540
1857,CROOK FARM/CSO,103,353,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),POOL IN WHARFEDALE,BRADFORD,WHARFE AND TRIBS,WADC861 1,RIVER WHARFE,Freshwater river,Sewage - water company,SE2523545343,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,425235,445343
1858,CROSS GATES/CSO,0,0,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),REAR OF 100 POOLE ROAD,LEEDS,AIRE AND TRIBS,WRA8109 1,TRIB OF WYKE BECK (CULVERTED),Freshwater river,Sewage - water company,SE3588034350,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,435880,434350
1859,CROSS HILLS/CSO,5,1,99.45,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),VICTORIA ROAD,BRADFORD,AIRE AND TRIBS,WRA8667 1,TRIBUTARY OF HOLME BECK,Freshwater river,Sewage - water company,SE0170044340,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,400770,444660
1860,CROW LANE MEMORIAL/CSO,94,208,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),CROW LANE ADJ. WAR MEMORIAL,N.E. DERBYSHIRE,DON AND TRIBS,WRA9213 1,RIVER DRONE,Freshwater river,Sewage - water company,SK3743077260,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,437430,377260
1861,CROW NEST BRIDGE/CSO,0,0,100,YORKSHIRE WATER SERVICES LTD,Pumping Station on Sewerage Network (water company),HEBDEN BRIDGE,CALDERDALE,CALDER AND TRIBS,WADC864 1,RIVER CALDER,Freshwater river,Sewage - water company,SD9958026840,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,399580,426840
1862,CUCKSTOOL BOTTOM/CSO,86,382,99.72,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),WAKEFIELD ROAD,KIRKLEES,DON AND TRIBS,3205 1,RIVER DEARNE,Freshwater river,Sewage - water company,SE2360008920,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,423600,408920
1863,CURLEW DRIVE/CSO,0,0,92.60,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),ADJ NO 23 CURLEW DRIVE,SCARBOROUGH,DERWENT AND TRIBS,27/27/0134 1,TRIBUTARY OF RIVER HERTFORD,Freshwater river,Sewage - water company,TA0303083650,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,503030,483650
1864,CUT ROAD/NO 2 CSO,9,0,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),CUT ROAD,WAKEFIELD,CALDER AND TRIBS,WRA8203 1,RIVER AIRE,Freshwater river,Sewage - water company,SE4678027200,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,446780,427200
1865,CUTLER HEIGHTS/CSO,24,170,88.89,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),FENBY LANE,BRADFORD,AIRE AND TRIBS,WRA8251 1,HOLME BECK (CULVERTED),Freshwater river,Sewage - water company,SE1936031160,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,419360,431160
1866,CUTTHORPE ROAD/CSO,12,9,99.72,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),MAIN ROAD,N.E. DERBYSHIRE,DON AND TRIBS,WADC1210 1,RIVER ROTHER,Freshwater river,Sewage - water company,SK3484073010,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,434840,373010
1867,DAISY STREET/CSO,50,102,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),OFF ST ANDREWS ROAD,KIRKLEES,CALDER AND TRIBS,WRA9171 1,RIVER COLNE,Freshwater river,Sewage - water company,SE1516016660,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,415160,416660
1868,DALTON BROOK/CSO,42,286,98.64,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),DONCASTER ROAD RO BOWLING GREEN,ROTHERHAM,DON AND TRIBS,3742 1,DALTON BROOK,Freshwater river,Sewage - water company,SK4544094600,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,445590,394480
1869,DALTON ICI NORTH/NO 2 CSO,100,500,99.72,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),NETTLETON ROAD (OFF),KIRKLEES,CALDER AND TRIBS,WRA8422 1,LEES HEAD BECK,Freshwater river,Sewage - water company,SE1700017660,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,417000,417660
1870,DALTON ICI SOUTH/CSO,35,194,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),NETTLETON ROAD (R/O NO. 15),KIRKLEES,CALDER AND TRIBS,1375 2,LEES HD BECK TRIB COLNE/CALDER,Freshwater river,Sewage - water company,SE1704217595,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,417074,417591
1871,DALTON LONG LANE/NO 2 CSO,23,35,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),ADJ 315 LONG LANE,KIRKLEES,CALDER AND TRIBS,WRA8433 1,LEES HEAD BECK,Freshwater river,Sewage - water company,SE1706017390,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,417060,417390
1872,DAMEMS ROAD/CSO,2,0,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),DAMEMS ROAD,BRADFORD,AIRE AND TRIBS,WRA8640 1,RIVER WORTH,Freshwater river,Sewage - water company,SE0527039100,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,405270,439100
1873,FACTORY LANE CSO,4,0,,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),DAM HILL,KIRKLEES,CALDER AND TRIBS,WRA7961 1,SHEPLEY DIKE,Freshwater river,Sewage - water company,SE1908011100,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,419080,411100
1874,DANESFORT AVENUE/CSO,0,0,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),DANESFORT AVE/MIDDLETON RD JCT,YORK UA,OUSE (NON TIDAL) AND TRIB,27/24/0246 1,TRIB OF HOLGATE BECK,Freshwater river,Sewage - water company,SE5781050710,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,457810,450710
1875,DARFIELD DONCASTER RD/CSO,0,0,99.72,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),DONCASTER/ADJ MILL HOUSES BRIDGE,BARNSLEY,DON AND TRIBS,WRA9256 1,RIVER DEARNE,Freshwater river,Sewage - water company,SE4213004570,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,442130,404570
1876,DARTON CHURCH ST/NO 2 CSO,66,140,99.73,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),CHURCH STREET (ADJ NO 74),BARNSLEY,DON AND TRIBS,WRA8610 1,RIVER DEARNE,Freshwater river,Sewage - water company,SE3131010020,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,431310,410020
1877,DAWSONS CORNER/CSO,97,218,99.45,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),DAWSONS CORNER,LEEDS,AIRE AND TRIBS,2314 1,TRIB OF BEAGLEY BECK,Freshwater river,Sewage - water company,TA9999999999,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,420940,434460
1878,DEAN BECK/CSO,0,0,99.73,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),OFF A62 GELDERD ROAD,LEEDS,AIRE AND TRIBS,WRA9108 1,FARNLEY WOOD BECK,Freshwater river,Sewage - water company,SE2542030000,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,425420,430000
1879,DEERLANDS AVE 178/2 CSO,68,176,100,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),DEERLANDS AVENUE REAR OF NO 54,SHEFFIELD,DON AND TRIBS,WRA8167 1,SHEFFIELD LANE DIKE,Freshwater river,Sewage - water company,SK3592092560,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,435920,392560
1880,DEERLANDS AVENUE 177/CSO,38,200,98.63,YORKSHIRE WATER SERVICES LTD,Storm Tank/CSO on Sewerage Network (water company),REAR OF NO 168 DEERLANDS AVE,SHEFFIELD,DON AND TRIBS,WRA8168 1,SHEFFIELD LANE DIKE,Freshwater river,Sewage - water company,SK3553092510,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,435530,392510
